system,composite_panel_median,rank_panel_median,composite_o4-mini,rank_o4-mini,composite_selene-mini,rank_selene-mini
CohereForAI/aya-23-8B,7.9575,7.0,5.47,8.0,,
HuggingFaceTB/SmolLM2-1.7B-Instruct,7.66,9.0,5.3,10.0,,
Qwen/Qwen2.5-7B-Instruct,8.122499999999999,4.0,6.5175,5.0,,
allenai/Llama-3.1-Tulu-3-8B,8.2625,1.0,7.1475,2.0,,
deepseek-ai/deepseek-llm-7b-chat,7.8774999999999995,8.0,5.9475,7.0,,
meta-llama/Llama-3.1-8B-Instruct,8.1875,3.0,7.34,1.0,,
meta-llama/Llama-3.2-1B-Instruct,7.635,10.0,5.34,9.0,,
microsoft/Phi-3-mini-4k-instruct ,8.0425,6.0,6.485,6.0,,
mistralai/Mistral-7B-Instruct-v0.3,8.0975,5.0,6.539999999999999,4.0,,
tiiuae/Falcon3-7B-Instruct,8.19,2.0,6.687499999999999,3.0,,
unknown,,,,,7.99375,1.0
